M_th,R_max,R_min,cd,d2s,n,nils,slope,t_dev,thickness
0.27535270033363995,22.930109760806832,0.07214826325595373,32.05388386077503,1.2273310848415595,7.6812782885640045,4.726315938199832,-36.8404678852684,34.1457084750088,50.0
0.2800815317912101,193.91527976311843,0.060483788383339225,31.969129126454938,1.2273310848415595,12.94300741750681,4.726315938199832,-26.403291834426007,24.825534000517848,30.0
0.293330686402376,49.52101066051191,0.3957318818985124,31.99573380876607,1.0322536101403352,4.802191065344233,4.717743736091505,-61.90421650263884,14.643314229040046,80.0
0.26735625968642,17.851607333240597,0.039721505698137934,32.00775900541906,2.4274623793763617,12.948456409764718,4.726314253272972,-26.02049663151836,14.558022527915327,80.0
0.2912272833274289,33.88051501911767,0.00727587580451739,32.010400738545314,2.565716171109012,22.556540140391967,4.726318621675587,-22.07232801808729,18.445599037419882,80.0
0.3803391399540059,77.04042887745884,0.2274457093196294,31.995521522764832,0.5111808755037908,5.757138078848552,4.726315098714748,-55.94433774525459,35.26041872300793,30.0
0.436102086303065,85.59085337253951,0.11876596450146991,31.949221153885688,0.7638029787205232,12.471446353982207,4.726317264509988,-57.83444647875597,65.64202278337328,50.0
0.5280328185328719,53.68018732143947,0.02627767119698141,32.040642668921855,0.7611633016450685,13.015549116636508,4.726312672988176,-25.658737958655284,53.109379895308145,30.0
0.3702164914854307,34.91003378588929,0.04810916994149088,31.99185481174299,0.8711934338544953,4.717241824697347,4.726320910172369,-47.71468792715526,26.974906941405493,80.0
0.5149993253478373,20.90979536501016,0.019162975192778032,32.01603113240022,1.474509505531003,28.82524662306017,4.726315407574232,-21.760908563751478,12.073624636734609,50.0
0.4453265134286811,224.66378597707708,0.03389535064433034,32.02851061344566,0.6446285421364236,9.355605190658439,4.726318407799628,-30.98279664570405,67.78549076121251,50.0
0.528912191537558,40.175036891333114,0.05582386300304359,32.039348706398556,0.7744535477478387,7.937575976796713,4.726317911798196,-27.880593402480667,9.637435638677081,30.0
0.2712342996590269,56.93347861089712,0.19213295679907638,31.870077782903863,1.6818250715996224,26.83575534807536,4.72631479794319,-77.79813813701567,53.4698076197902,80.0
0.5008197280394062,101.96709560719515,0.1081167100794394,32.01129134434498,0.6098926889610005,12.817353143416288,4.726320166010023,-74.37958804585686,88.37518198589592,50.0
0.29098352806860617,54.981054785939044,0.01339360318658766,32.05857603905531,0.9144578324453526,4.186045414108299,4.726319280887305,-44.28366584288697,9.384816044234771,50.0
0.5549976909442047,30.10503482962213,0.023890548880958724,31.981244400379367,0.7251515017493384,5.190875460568115,4.72631717075284,-36.60000479444129,9.95086767215271,50.0
0.40068257788117645,32.776958677340026,0.0067707973548559956,32.03240032224946,1.206269095759633,8.985108415064023,4.726314642260954,-27.46069283043479,35.49755114598937,80.0
0.5852059213873969,41.15810386606197,0.44566607518018925,32.048912567669525,0.5911829075329259,9.235701465700883,4.726319920288752,-40.58314433927539,12.038898282979941,30.0
0.5408827465489001,95.65309732867678,0.010196626229180722,31.941696181057544,0.5384274519639944,5.425694611759782,4.726317742233272,-34.35199171937272,13.108163423666525,50.0
0.44821942829723715,48.7506620135767,0.03448609854296768,32.052682010282254,0.39565359742611533,4.03312929623784,4.726319851928622,-60.24801292081533,105.68664857535121,80.0
0.5089246617175454,217.33076255663659,0.6985840779064303,32.09803221570378,0.7798343958532489,22.58990135757626,4.649171681214455,-235.60228077577327,27.551463765548576,80.0
