cd,d2s,i_max_norm,i_mean_norm,k1,na,nils,pitch,refl,shape,sigma,slope
16.26859818229661,2.646916063995382,0.3089392033435325,0.22284071849481565,0.39111111111111113,0.33,1.0205081381162278,32.0,0.3299144502103948,conventional,0.5,-259.9095189000952
15.864451803823705,2.5925021836089,0.3210757121455563,0.22658025968109927,0.39111111111111113,0.33,1.1077871472394194,32.0,0.3299144502103948,annular,0.5,-255.7045674899371
15.84561252417404,2.3286833090195103,0.38365748368546226,0.2458631618732886,0.39111111111111113,0.33,1.5726581974173284,32.0,0.3299144502103948,conventional,0.8,-233.11094062582814
15.837199671118931,2.257245896314689,0.4032207268652762,0.2518910529910371,0.39111111111111113,0.33,1.6917251023036235,32.0,0.3299144502103948,annular,0.8,-197.85480903274672
15.882663687039098,1.3336623440458484,0.9702553636939503,0.3893322468647137,0.6518518518518519,0.55,4.2062160758032725,32.0,0.3299144502103948,conventional,0.5,-82.87231018515328
15.917076866282333,1.3616545068774506,0.9345806066417195,0.382229685475183,0.6518518518518519,0.55,4.046283770910291,32.0,0.3299144502103948,annular,0.5,-85.51004172033943
16.11134294232769,1.5211748441437687,0.7626293979084527,0.3469074629464818,0.6518518518518519,0.55,3.3189792341043454,32.0,0.3299144502103948,conventional,0.8,-104.04470007440798
15.907187408817249,1.5857006799982012,0.7063033297994858,0.33558650662124206,0.6518518518518519,0.55,3.0871948789062222,32.0,0.3299144502103948,annular,0.8,-106.51359732679559
22.065629072465164,1.4796230323272606,0.6797157661203072,0.3305189686040124,0.5377777777777778,0.33,3.1617864540045586,44.0,0.3299144502103948,conventional,0.5,-49.41151827358791
22.02612993994518,1.5159177157013388,0.648755938225045,0.3242605937793112,0.5377777777777778,0.33,2.9991731839540803,44.0,0.3299144502103948,annular,0.5,-51.214941166476564
22.074449554531164,1.5911998123453301,0.6059036370555877,0.3117779855546158,0.5377777777777778,0.33,2.8265030420852786,44.0,0.3299144502103948,conventional,0.8,-55.014130887532865
22.089071808093927,1.6245974144022826,0.5824242008406519,0.3066108266273495,0.5377777777777778,0.33,2.7064993601884884,44.0,0.3299144502103948,annular,0.8,-57.18593794552119
22.039319118512843,1.0251310724426372,1.2908768135632251,0.45316543645484314,0.8962962962962964,0.55,7.02684027224764,44.0,0.3299144502103948,conventional,0.5,-31.197059938030765
21.999757496262646,1.0286861768274842,1.2864714561548383,0.45228836470940464,0.8962962962962964,0.55,6.993232447172338,44.0,0.3299144502103948,annular,0.5,-31.129842184757678
21.949465013001074,1.206269095759633,0.979511859854322,0.39381402787616554,0.8962962962962964,0.55,4.952952186983831,44.0,0.3299144502103948,conventional,0.8,-36.6276574431121
22.04639837804217,1.2273310848415595,0.9444898661071875,0.3871006407308143,0.8962962962962964,0.55,4.745647020582885,44.0,0.3299144502103948,annular,0.8,-37.88862265487016
32.023915492804704,1.1531840247222047,1.1828220707896022,0.43165259355430224,0.7822222222222223,0.33,7.062611771175051,64.0,0.3299144502103948,conventional,0.5,-22.63924563921371
32.0041518631425,1.1611962652144339,1.1678784074238977,0.42867742861389346,0.7822222222222223,0.33,6.922051665898733,64.0,0.3299144502103948,annular,0.5,-22.81310346979478
31.982314244360037,1.3062456290800837,0.8999337664059419,0.3752608111553948,0.7822222222222223,0.33,4.7263163299030735,64.0,0.3299144502103948,conventional,0.8,-27.817700771572504
31.97113855550287,1.3336623440458484,0.8570949228997876,0.36672496632893725,0.7822222222222223,0.33,4.423005652774909,64.0,0.3299144502103948,annular,0.8,-29.001463396725768
32.011460025825166,1.0502772122892934,1.1933238349457103,0.46769214514139523,1.3037037037037038,0.55,9.4751106676969,64.0,0.3299144502103948,conventional,0.5,-22.231514222218305
32.01622976337533,1.0466474900213907,1.1794043820952307,0.46823182657829915,1.3037037037037038,0.55,9.54811111428775,64.0,0.3299144502103948,annular,0.5,-22.376735075096626
31.957946206946644,1.110094743635216,1.0375079591168959,0.4381181291310081,1.3037037037037038,0.55,7.737076397725237,64.0,0.3299144502103948,conventional,0.8,-24.465544927661274
31.958063937000134,1.1139444978732662,1.0150267550926106,0.4355248683184156,1.3037037037037038,0.55,7.633983622872045,64.0,0.3299144502103948,annular,0.8,-24.84261452142176
44.99358406979994,1.2882816604474852,1.2995366006203826,0.4635740911767332,1.1,0.33,9.72842233623825,90.0,0.3299144502103948,conventional,0.5,-19.77989298359926
45.02413346364402,1.2838294029143864,1.295975810356306,0.46371214921873183,1.1,0.33,9.76226306786363,90.0,0.3299144502103948,annular,0.5,-19.817597429103202
45.04030467152153,1.3017312886833345,1.036014616358672,0.42033373296291526,1.1,0.33,7.085674203267051,90.0,0.3299144502103948,conventional,0.8,-24.027288581894936
45.02805609951712,1.3017312886833345,1.0065428128639777,0.41622534100321884,1.1,0.33,6.9156896070687885,90.0,0.3299144502103948,annular,0.8,-24.586353229813696
44.97927486610478,1.0948283138689252,1.1298463419664482,0.4772677079222505,1.8333333333333337,0.55,12.710386094450264,90.0,0.3299144502103948,conventional,0.5,-22.09493580038971
44.98410520749073,1.1024351030373174,1.1205224350278402,0.47669099843110213,1.8333333333333337,0.55,12.554181756547589,90.0,0.3299144502103948,annular,0.5,-21.996616038720934
44.981597417422996,1.1294774862193862,1.0586924457259235,0.46697147148058793,1.8333333333333337,0.55,11.387158669888182,90.0,0.3299144502103948,conventional,0.8,-22.60655555058863
45.021738636105,1.1373250153701029,1.0771243418679115,0.4655406506884109,1.8333333333333337,0.55,11.151595200929595,90.0,0.3299144502103948,annular,0.8,-22.608662989994325
