cd_det,cd_stoch,cell,dose,dose_factor,l_int,ler,lwr,n_eff,se_blur,sigma_diff
32.86296564390396,34.40236963521981,0.0,1.3062456290800837,1.0,6.8063621158456,2.769710294048907,4.600625194700871,37.9613308549281,1.5,4.0
26.083923705653053,26.890068548223432,0.0,1.9593684436201255,1.5,6.613767983414265,1.7016630156351242,2.5078734776737894,39.405250258119175,1.5,4.0
32.86296564390396,38.096885870681625,2.0,1.3062456290800837,1.0,5.566146000360573,3.6661672861634305,6.162468469652932,46.40864401612952,1.5,4.0
26.083923705653053,29.436638890168837,2.0,1.9593684436201255,1.5,4.62810275735678,2.0082456114516174,2.9650163472216464,56.580386609093225,1.5,4.0
32.86296564390396,36.50004875545991,4.3,1.3062456290800837,1.0,6.620610917080751,2.961577287044713,4.849737551778505,39.03759040974191,1.5,4.0
26.083923705653053,28.551058202786784,4.3,1.9593684436201255,1.5,5.590077160061205,1.768260405269237,2.6308512144207277,46.614509215480425,1.5,4.0
32.77505872459969,34.19255001252219,0.0,1.3062456290800837,1.0,7.460227847814775,2.619970707265125,4.4089179980141555,34.73068501963223,2.5,4.0
25.785414546909454,26.557082795746734,0.0,1.9593684436201255,1.5,7.493573982897374,1.5656927720704554,2.3359979336393355,34.87644679579476,2.5,4.0
32.77505872459969,38.03363122389304,2.0,1.3062456290800837,1.0,5.972178850188115,3.5605710111667146,6.06567656407697,43.31604545592026,2.5,4.0
25.785414546909454,29.180546189818713,2.0,1.9593684436201255,1.5,5.128302308577634,1.91674389259629,2.8378513376790693,52.11682765933068,2.5,4.0
32.77505872459969,36.32344868204576,4.3,1.3062456290800837,1.0,7.019772207641208,2.805519281663142,4.647528358100911,36.83152857449722,2.5,4.0
25.785414546909454,28.24009085034801,4.3,1.9593684436201255,1.5,6.268614155534808,1.6350639670674387,2.4873436310778416,41.87915794812374,2.5,4.0
32.59405524214327,33.904017542658664,0.0,1.3062456290800837,1.0,9.184161165861173,2.421414833154061,4.16810654031223,28.81259623403462,4.0,4.0
25.09084523665022,25.82675092159503,0.0,1.9593684436201255,1.5,9.418842450463906,1.3667624759554453,2.088083675371428,27.772028077179403,4.0,4.0
32.59405524214327,38.025988067695536,2.0,1.3062456290800837,1.0,6.498663347265126,3.441369801140247,5.88148782294703,39.90662355017137,4.0,4.0
25.09084523665022,28.506713987803707,2.0,1.9593684436201255,1.5,5.652049774902801,1.8134450238227262,2.735368679410072,47.02749974406264,4.0,4.0
32.59405524214327,36.14370084666717,4.3,1.3062456290800837,1.0,7.906107967709182,2.62416916662686,4.388536283395146,32.73937875960371,4.0,4.0
25.09084523665022,27.594339050502775,4.3,1.9593684436201255,1.5,7.404824321920963,1.4828718104453813,2.2774700263677428,35.95987317530149,4.0,4.0
31.984937266326213,33.45023402810881,0.0,1.3062456290800837,1.0,12.718580125781688,2.062563010297639,3.5975496721857887,20.926511914297613,1.5,8.0
22.749164420527112,23.535832450067662,0.0,1.9593684436201255,1.5,13.510877553735412,1.1731000259397522,1.8726539109289486,19.305629255571993,1.5,8.0
31.984937266326213,38.95098307462665,2.0,1.3062456290800837,1.0,8.030790455326988,3.7338279726835655,6.5477490697867875,32.491497204347446,1.5,8.0
22.749164420527112,26.746635839591274,2.0,1.9593684436201255,1.5,6.404461592433222,1.7924580196719566,2.7846646948229195,41.42035667546949,1.5,8.0
31.984937266326213,36.230986275001136,4.3,1.3062456290800837,1.0,10.4554067575707,2.5715416952583654,4.470676893136343,25.76060661794157,1.5,8.0
22.749164420527112,25.716273029442483,4.3,1.9593684436201255,1.5,9.798926488865153,1.358261368392558,2.1198240183495622,28.17531406268386,1.5,8.0
31.978174705798075,33.434020966190715,0.0,1.3062456290800837,1.0,12.999073098478718,2.0656840554595792,3.6201966807263632,20.519992613987625,2.5,8.0
